pH,Temprature,Taste,Odor,Fat,Turbidity,Colour,Grade
5.04,45,0,0,0,1,246,low
9.48,60,0,1,0,1,250,low
6.63,45,1,0,0,0,243,medium
6.68,42,1,0,1,1,253,high
5.39,65,0,0,1,0,246,low
6.69,40,1,1,1,0,250,high
4.79,88,0,0,1,1,249,low
4.21,50,0,0,1,1,252,low
4.85,67,0,1,1,0,253,low
6.75,35,1,1,1,0,249,high
6.59,35,1,1,1,1,252,high
6.62,42,1,1,1,0,251,high
6.74,43,1,0,1,1,254,high
8.09,42,0,1,0,0,252,low
6.6,37,1,0,1,0,255,high
6.59,36,0,1,0,0,243,medium
6.46,40,1,1,0,0,252,medium
6.5,45,0,0,1,0,251,high
7.85,58,1,0,1,1,246,low
6.78,35,1,1,1,1,254,high
7.6,61,1,1,1,0,252,low
6.79,42,0,0,0,0,240,medium
6.76,36,1,1,1,1,254,high
5.22,81,0,0,1,0,253,low
6.67,45,1,0,1,1,254,high
8.11,61,1,0,1,0,253,low
4.72,75,0,0,1,0,245,low
9.08,57,1,0,0,0,249,low
8.16,80,0,0,0,1,247,low
6.62,41,1,1,1,1,253,high
6.63,42,1,1,1,0,245,medium
6.55,44,1,1,1,1,255,high
5.71,55,1,0,0,0,253,low
6.64,35,0,0,1,0,246,medium
6.61,45,0,0,0,0,247,medium
6.59,37,1,1,1,1,253,high
6.5,43,1,1,1,0,254,high
6.7,37,0,0,1,0,243,medium
6.62,45,1,0,0,1,241,medium
6.54,40,0,1,0,0,243,medium
6.64,39,1,1,1,0,251,high
4.89,49,0,1,0,1,254,low
6.74,39,1,1,1,1,249,high
3.51,37,1,0,1,0,246,low
6.49,34,0,0,1,1,249,medium
6.61,36,1,0,1,0,254,medium
3.5,55,1,0,0,0,251,low
6.73,35,1,0,0,0,254,high
6.55,40,1,1,1,0,254,high
6.52,44,0,1,1,1,255,high
4.44,76,1,1,1,1,246,low
3.83,47,0,1,1,0,250,low
6.53,39,0,1,1,1,252,high
6.5,39,0,1,0,0,249,medium
6.6,41,0,1,1,1,248,high
6.52,45,1,1,1,1,254,high
6.55,41,1,1,0,0,246,medium
6.42,34,0,0,1,0,253,medium
6.52,41,1,1,1,0,250,high
6.72,43,0,1,0,0,255,medium
6.74,40,0,0,0,0,248,medium
7.42,53,1,0,0,1,255,low
6.74,41,1,1,1,1,252,high
7.92,72,1,1,1,0,246,low
8.33,46,1,1,1,1,252,low
6.74,34,0,0,0,0,250,medium
6.58,37,0,0,0,1,242,medium
6.64,38,1,1,1,1,252,high
6.78,43,1,1,0,1,252,high
6.66,43,0,0,0,0,242,medium
